2023-03-29 20:21:56,414 - __main__ - INFO - Testing for participant 1.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,437 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:56,447 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,068 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:24:09,447 - brainiak.fcma.voxelselector - INFO - in rank 1, task 93 takes 1.26 s
2023-03-29 20:24:10,710 - brainiak.fcma.voxelselector - INFO - in rank 1, task 94 takes 1.26 s
2023-03-29 20:24:11,982 - brainiak.fcma.voxelselector - INFO - in rank 1, task 95 takes 1.27 s
2023-03-29 20:24:13,244 - brainiak.fcma.voxelselector - INFO - in rank 1, task 96 takes 1.26 s
2023-03-29 20:24:14,508 - brainiak.fcma.voxelselector - INFO - in rank 1, task 97 takes 1.26 s
2023-03-29 20:24:15,770 - brainiak.fcma.voxelselector - INFO - in rank 1, task 98 takes 1.26 s
2023-03-29 20:24:17,030 - brainiak.fcma.voxelselector - INFO - in rank 1, task 99 takes 1.26 s
2023-03-29 20:24:18,292 - brainiak.fcma.voxelselector - INFO - in rank 1, task 100 takes 1.26 s
2023-03-29 20:24:19,553 - brainiak.fcma.voxelselector - INFO - in rank 1, task 101 takes 1.26 s
2023-03-29 20:24:20,813 - brainiak.fcma.voxelselector - INFO - in rank 1, task 102 takes 1.26 s
2023-03-29 20:24:22,073 - brainiak.fcma.voxelselector - INFO - in rank 1, task 103 takes 1.26 s
2023-03-29 20:24:23,333 - brainiak.fcma.voxelselector - INFO - in rank 1, task 104 takes 1.26 s
2023-03-29 20:24:24,592 - brainiak.fcma.voxelselector - INFO - in rank 1, task 105 takes 1.26 s
2023-03-29 20:24:25,852 - brainiak.fcma.voxelselector - INFO - in rank 1, task 106 takes 1.26 s
2023-03-29 20:24:27,110 - brainiak.fcma.voxelselector - INFO - in rank 1, task 107 takes 1.26 s
2023-03-29 20:24:28,372 - brainiak.fcma.voxelselector - INFO - in rank 1, task 108 takes 1.26 s
2023-03-29 20:24:29,632 - brainiak.fcma.voxelselector - INFO - in rank 1, task 109 takes 1.26 s
2023-03-29 20:24:30,894 - brainiak.fcma.voxelselector - INFO - in rank 1, task 110 takes 1.26 s
2023-03-29 20:24:32,154 - brainiak.fcma.voxelselector - INFO - in rank 1, task 111 takes 1.26 s
2023-03-29 20:24:33,415 - brainiak.fcma.voxelselector - INFO - in rank 1, task 112 takes 1.26 s
2023-03-29 20:24:34,676 - brainiak.fcma.voxelselector - INFO - in rank 1, task 113 takes 1.26 s
2023-03-29 20:24:35,938 - brainiak.fcma.voxelselector - INFO - in rank 1, task 114 takes 1.26 s
2023-03-29 20:24:37,199 - brainiak.fcma.voxelselector - INFO - in rank 1, task 115 takes 1.26 s
2023-03-29 20:24:38,461 - brainiak.fcma.voxelselector - INFO - in rank 1, task 116 takes 1.26 s
2023-03-29 20:24:39,720 - brainiak.fcma.voxelselector - INFO - in rank 1, task 117 takes 1.26 s
2023-03-29 20:24:40,980 - brainiak.fcma.voxelselector - INFO - in rank 1, task 118 takes 1.26 s
2023-03-29 20:24:42,241 - brainiak.fcma.voxelselector - INFO - in rank 1, task 119 takes 1.26 s
2023-03-29 20:24:43,500 - brainiak.fcma.voxelselector - INFO - in rank 1, task 120 takes 1.26 s
2023-03-29 20:24:44,757 - brainiak.fcma.voxelselector - INFO - in rank 1, task 121 takes 1.26 s
2023-03-29 20:24:46,018 - brainiak.fcma.voxelselector - INFO - in rank 1, task 122 takes 1.26 s
