2023-03-29 20:21:22,147 - __main__ - INFO - Testing for participant 0.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,179 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:21:22,189 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:21:22,151 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:25:13,187 - brainiak.fcma.voxelselector - INFO - in rank 1, task 121 takes 1.82 s
2023-03-29 20:25:14,997 - brainiak.fcma.voxelselector - INFO - in rank 1, task 122 takes 1.81 s
2023-03-29 20:25:16,804 - brainiak.fcma.voxelselector - INFO - in rank 1, task 123 takes 1.81 s
2023-03-29 20:25:18,630 - brainiak.fcma.voxelselector - INFO - in rank 1, task 124 takes 1.82 s
2023-03-29 20:25:20,438 - brainiak.fcma.voxelselector - INFO - in rank 1, task 125 takes 1.81 s
2023-03-29 20:25:22,245 - brainiak.fcma.voxelselector - INFO - in rank 1, task 126 takes 1.81 s
2023-03-29 20:25:24,072 - brainiak.fcma.voxelselector - INFO - in rank 1, task 127 takes 1.83 s
2023-03-29 20:25:25,882 - brainiak.fcma.voxelselector - INFO - in rank 1, task 128 takes 1.81 s
2023-03-29 20:25:27,722 - brainiak.fcma.voxelselector - INFO - in rank 1, task 129 takes 1.84 s
2023-03-29 20:25:29,532 - brainiak.fcma.voxelselector - INFO - in rank 1, task 130 takes 1.81 s
2023-03-29 20:25:31,340 - brainiak.fcma.voxelselector - INFO - in rank 1, task 131 takes 1.81 s
2023-03-29 20:25:33,162 - brainiak.fcma.voxelselector - INFO - in rank 1, task 132 takes 1.82 s
2023-03-29 20:25:34,970 - brainiak.fcma.voxelselector - INFO - in rank 1, task 133 takes 1.81 s
2023-03-29 20:25:36,774 - brainiak.fcma.voxelselector - INFO - in rank 1, task 134 takes 1.80 s
2023-03-29 20:25:38,578 - brainiak.fcma.voxelselector - INFO - in rank 1, task 135 takes 1.80 s
2023-03-29 20:25:40,382 - brainiak.fcma.voxelselector - INFO - in rank 1, task 136 takes 1.80 s
2023-03-29 20:25:42,188 - brainiak.fcma.voxelselector - INFO - in rank 1, task 137 takes 1.80 s
2023-03-29 20:25:43,995 - brainiak.fcma.voxelselector - INFO - in rank 1, task 138 takes 1.81 s
2023-03-29 20:25:45,803 - brainiak.fcma.voxelselector - INFO - in rank 1, task 139 takes 1.81 s
2023-03-29 20:25:47,611 - brainiak.fcma.voxelselector - INFO - in rank 1, task 140 takes 1.81 s
2023-03-29 20:25:49,420 - brainiak.fcma.voxelselector - INFO - in rank 1, task 141 takes 1.81 s
2023-03-29 20:25:51,230 - brainiak.fcma.voxelselector - INFO - in rank 1, task 142 takes 1.81 s
2023-03-29 20:25:53,030 - brainiak.fcma.voxelselector - INFO - in rank 1, task 143 takes 1.80 s
2023-03-29 20:25:54,829 - brainiak.fcma.voxelselector - INFO - in rank 1, task 144 takes 1.80 s
2023-03-29 20:25:56,628 - brainiak.fcma.voxelselector - INFO - in rank 1, task 145 takes 1.80 s
2023-03-29 20:25:58,426 - brainiak.fcma.voxelselector - INFO - in rank 1, task 146 takes 1.80 s
2023-03-29 20:26:00,223 - brainiak.fcma.voxelselector - INFO - in rank 1, task 147 takes 1.80 s
2023-03-29 20:26:02,018 - brainiak.fcma.voxelselector - INFO - in rank 1, task 148 takes 1.79 s
2023-03-29 20:26:03,812 - brainiak.fcma.voxelselector - INFO - in rank 1, task 149 takes 1.79 s
2023-03-29 20:26:05,605 - brainiak.fcma.voxelselector - INFO - in rank 1, task 150 takes 1.79 s
2023-03-29 20:26:07,401 - brainiak.fcma.voxelselector - INFO - in rank 1, task 151 takes 1.80 s
2023-03-29 20:26:09,198 - brainiak.fcma.voxelselector - INFO - in rank 1, task 152 takes 1.80 s
2023-03-29 20:26:10,997 - brainiak.fcma.voxelselector - INFO - in rank 1, task 153 takes 1.80 s
2023-03-29 20:26:12,794 - brainiak.fcma.voxelselector - INFO - in rank 1, task 154 takes 1.80 s
2023-03-29 20:26:14,593 - brainiak.fcma.voxelselector - INFO - in rank 1, task 155 takes 1.80 s
2023-03-29 20:26:16,390 - brainiak.fcma.voxelselector - INFO - in rank 1, task 156 takes 1.80 s
2023-03-29 20:26:18,189 - brainiak.fcma.voxelselector - INFO - in rank 1, task 157 takes 1.80 s
2023-03-29 20:26:19,986 - brainiak.fcma.voxelselector - INFO - in rank 1, task 158 takes 1.80 s
2023-03-29 20:26:21,783 - brainiak.fcma.voxelselector - INFO - in rank 1, task 159 takes 1.80 s
2023-03-29 20:26:23,580 - brainiak.fcma.voxelselector - INFO - in rank 1, task 160 takes 1.80 s
2023-03-29 20:26:25,388 - brainiak.fcma.voxelselector - INFO - in rank 1, task 161 takes 1.81 s
2023-03-29 20:26:27,204 - brainiak.fcma.voxelselector - INFO - in rank 1, task 162 takes 1.82 s
2023-03-29 20:26:29,019 - brainiak.fcma.voxelselector - INFO - in rank 1, task 163 takes 1.81 s
2023-03-29 20:26:30,831 - brainiak.fcma.voxelselector - INFO - in rank 1, task 164 takes 1.81 s
2023-03-29 20:26:32,630 - brainiak.fcma.voxelselector - INFO - in rank 1, task 165 takes 1.80 s
2023-03-29 20:26:34,430 - brainiak.fcma.voxelselector - INFO - in rank 1, task 166 takes 1.80 s
2023-03-29 20:26:36,231 - brainiak.fcma.voxelselector - INFO - in rank 1, task 167 takes 1.80 s
2023-03-29 20:26:38,051 - brainiak.fcma.voxelselector - INFO - in rank 1, task 168 takes 1.82 s
2023-03-29 20:26:39,855 - brainiak.fcma.voxelselector - INFO - in rank 1, task 169 takes 1.80 s
2023-03-29 20:26:41,659 - brainiak.fcma.voxelselector - INFO - in rank 1, task 170 takes 1.80 s
2023-03-29 20:26:43,479 - brainiak.fcma.voxelselector - INFO - in rank 1, task 171 takes 1.82 s
2023-03-29 20:26:45,283 - brainiak.fcma.voxelselector - INFO - in rank 1, task 172 takes 1.80 s
2023-03-29 20:26:47,084 - brainiak.fcma.voxelselector - INFO - in rank 1, task 173 takes 1.80 s
2023-03-29 20:26:48,905 - brainiak.fcma.voxelselector - INFO - in rank 1, task 174 takes 1.82 s
2023-03-29 20:26:50,709 - brainiak.fcma.voxelselector - INFO - in rank 1, task 175 takes 1.80 s
2023-03-29 20:26:52,514 - brainiak.fcma.voxelselector - INFO - in rank 1, task 176 takes 1.80 s
2023-03-29 20:26:54,335 - brainiak.fcma.voxelselector - INFO - in rank 1, task 177 takes 1.82 s
2023-03-29 20:26:56,137 - brainiak.fcma.voxelselector - INFO - in rank 1, task 178 takes 1.80 s
2023-03-29 20:26:57,937 - brainiak.fcma.voxelselector - INFO - in rank 1, task 179 takes 1.80 s
2023-03-29 20:26:59,737 - brainiak.fcma.voxelselector - INFO - in rank 1, task 180 takes 1.80 s
2023-03-29 20:27:01,538 - brainiak.fcma.voxelselector - INFO - in rank 1, task 181 takes 1.80 s
2023-03-29 20:27:03,357 - brainiak.fcma.voxelselector - INFO - in rank 1, task 182 takes 1.82 s
2023-03-29 20:27:05,161 - brainiak.fcma.voxelselector - INFO - in rank 1, task 183 takes 1.80 s
2023-03-29 20:27:06,966 - brainiak.fcma.voxelselector - INFO - in rank 1, task 184 takes 1.80 s
2023-03-29 20:27:08,770 - brainiak.fcma.voxelselector - INFO - in rank 1, task 185 takes 1.80 s
2023-03-29 20:27:10,577 - brainiak.fcma.voxelselector - INFO - in rank 1, task 186 takes 1.81 s
2023-03-29 20:27:12,382 - brainiak.fcma.voxelselector - INFO - in rank 1, task 187 takes 1.80 s
