2023-03-29 20:22:10,066 - __main__ - INFO - Testing for participant 2.
Programming starts in 2 process(es)
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,069 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,098 - nibabel.global - INFO - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2023-03-29 20:22:10,103 - brainiak.fcma.preprocessing - INFO - start to apply masks and separate epochs
2023-03-29 20:25:44,354 - brainiak.fcma.voxelselector - INFO - in rank 1, task 163 takes 1.26 s
2023-03-29 20:25:45,611 - brainiak.fcma.voxelselector - INFO - in rank 1, task 164 takes 1.26 s
2023-03-29 20:25:46,863 - brainiak.fcma.voxelselector - INFO - in rank 1, task 165 takes 1.25 s
2023-03-29 20:25:48,118 - brainiak.fcma.voxelselector - INFO - in rank 1, task 166 takes 1.25 s
2023-03-29 20:25:49,376 - brainiak.fcma.voxelselector - INFO - in rank 1, task 167 takes 1.26 s
2023-03-29 20:25:50,634 - brainiak.fcma.voxelselector - INFO - in rank 1, task 168 takes 1.26 s
2023-03-29 20:25:51,892 - brainiak.fcma.voxelselector - INFO - in rank 1, task 169 takes 1.26 s
2023-03-29 20:25:53,151 - brainiak.fcma.voxelselector - INFO - in rank 1, task 170 takes 1.26 s
2023-03-29 20:25:54,409 - brainiak.fcma.voxelselector - INFO - in rank 1, task 171 takes 1.26 s
2023-03-29 20:25:55,665 - brainiak.fcma.voxelselector - INFO - in rank 1, task 172 takes 1.26 s
2023-03-29 20:25:56,923 - brainiak.fcma.voxelselector - INFO - in rank 1, task 173 takes 1.26 s
2023-03-29 20:25:58,181 - brainiak.fcma.voxelselector - INFO - in rank 1, task 174 takes 1.26 s
2023-03-29 20:25:59,439 - brainiak.fcma.voxelselector - INFO - in rank 1, task 175 takes 1.26 s
2023-03-29 20:26:00,697 - brainiak.fcma.voxelselector - INFO - in rank 1, task 176 takes 1.26 s
2023-03-29 20:26:01,955 - brainiak.fcma.voxelselector - INFO - in rank 1, task 177 takes 1.26 s
2023-03-29 20:26:03,216 - brainiak.fcma.voxelselector - INFO - in rank 1, task 178 takes 1.26 s
2023-03-29 20:26:04,473 - brainiak.fcma.voxelselector - INFO - in rank 1, task 179 takes 1.26 s
2023-03-29 20:26:05,727 - brainiak.fcma.voxelselector - INFO - in rank 1, task 180 takes 1.25 s
2023-03-29 20:26:06,982 - brainiak.fcma.voxelselector - INFO - in rank 1, task 181 takes 1.25 s
2023-03-29 20:26:08,239 - brainiak.fcma.voxelselector - INFO - in rank 1, task 182 takes 1.26 s
2023-03-29 20:26:09,497 - brainiak.fcma.voxelselector - INFO - in rank 1, task 183 takes 1.26 s
2023-03-29 20:26:10,756 - brainiak.fcma.voxelselector - INFO - in rank 1, task 184 takes 1.26 s
2023-03-29 20:26:12,015 - brainiak.fcma.voxelselector - INFO - in rank 1, task 185 takes 1.26 s
2023-03-29 20:26:13,272 - brainiak.fcma.voxelselector - INFO - in rank 1, task 186 takes 1.26 s
2023-03-29 20:26:14,530 - brainiak.fcma.voxelselector - INFO - in rank 1, task 187 takes 1.26 s
2023-03-29 20:26:15,789 - brainiak.fcma.voxelselector - INFO - in rank 1, task 188 takes 1.26 s
2023-03-29 20:26:17,048 - brainiak.fcma.voxelselector - INFO - in rank 1, task 189 takes 1.26 s
2023-03-29 20:26:18,305 - brainiak.fcma.voxelselector - INFO - in rank 1, task 190 takes 1.26 s
2023-03-29 20:26:19,564 - brainiak.fcma.voxelselector - INFO - in rank 1, task 191 takes 1.26 s
2023-03-29 20:26:20,821 - brainiak.fcma.voxelselector - INFO - in rank 1, task 192 takes 1.26 s
2023-03-29 20:26:22,080 - brainiak.fcma.voxelselector - INFO - in rank 1, task 193 takes 1.26 s
2023-03-29 20:26:23,338 - brainiak.fcma.voxelselector - INFO - in rank 1, task 194 takes 1.26 s
2023-03-29 20:26:24,592 - brainiak.fcma.voxelselector - INFO - in rank 1, task 195 takes 1.25 s
2023-03-29 20:26:25,847 - brainiak.fcma.voxelselector - INFO - in rank 1, task 196 takes 1.25 s
2023-03-29 20:26:27,105 - brainiak.fcma.voxelselector - INFO - in rank 1, task 197 takes 1.26 s
